Team,Opponent,Season,Round,Score,Player,Aces,Unforced Errors,Forced Errors,1st Serve In,1st Serve Out,Double Faults,Winners,Errors Forced,win?,Team Score,Opponent Score,votes,
Navy,Pink,2,1,6-4,Archie Littlejohn,0,10,3,,,,6,2,TRUE,6,4,2,
Navy,Pink,2,1,6-4,Will Mumme,1,7,5,,,,9,1,TRUE,6,4,6,
Pink,Navy,2,1,4-6,Jonathan Kierce,0,9,0,,,,6,6,FALSE,4,6,4,
Pink,Navy,2,1,4-6,Damon Maurice,0,11,3,,,,2,3,FALSE,4,6,,
Green,Yellow,2,1,4-6,Jack Raines,0,6,8,,,,1,4,FALSE,4,6,2,
Green,Yellow,2,1,4-6,Ted Angel,0,10,6,,,,7,2,FALSE,4,6,4,
Yellow,Green,2,1,6-4,Luke Sharrock,0,8,3,,,,3,10,TRUE,6,4,6,
Yellow,Green,2,1,6-4,Max Razums,0,9,2,,,,2,1,TRUE,6,4,,
White,Orange,2,1,6-1,Quinn Feikema,0,1,4,,,,3,3,TRUE,6,1,6,
White,Orange,2,1,6-1,Declan Croucher,0,1,0,,,,1,1,TRUE,6,1,4,
Orange,White,2,1,1-6,Ed Simpson,1,14,4,,,,6,0,FALSE,1,6,2,
Orange,White,2,1,1-6,Jack Raines (Fill-in),0,7,1,,,,0,0,FALSE,1,6,,
Navy,Black,2,2,5-5,Will Mumme,1,7,2,,,0,4,1,FALSE,5,5,4,
Navy,Black,2,2,5-5,Archie Littlejohn,0,8,4,,,0,1,0,FALSE,5,5,,
Black,Navy,2,2,5-5,Charlie Simpson,0,8,1,,,0,9,4,TRUE,5,5,6,
Black,Navy,2,2,5-5,Conor Paraskevas,0,15,0,,,2,5,2,TRUE,5,5,2,
Green,Pink,2,2,6-4,Jack Raines,1,7,2,,,2,4,5,TRUE,6,4,5,
Green,Pink,2,2,6-4,Ted Angel,0,11,4,,,0,2,5,TRUE,6,4,2,
Pink,Green,2,2,4-6,Jonathan Kierce,0,9,5,,,2,6,5,FALSE,4,6,5,
Pink,Green,2,2,4-6,Damon Maurice,0,8,5,,,0,1,1,FALSE,4,6,,
Yellow,White,2,2,6-2,Luke Sharrock,1,9,4,,,2,7,8,TRUE,6,2,6,
Yellow,White,2,2,6-2,Max Razums,0,6,6,,,0,1,3,TRUE,6,2,4,
